transaction_id	customer_segment	product_category	purchase_amount_usd	received_discount_code	days_since_last_purchase	customer_lifetime_value_tier	device_type	time_on_site_minutes	cart_abandonment_history	email_engagement_score	geographic_region	payment_method	shipping_speed_preference	product_rating_avg	number_of_items	season	is_repeat_customer	referral_source
TXN00001	Premium	Electronics	$1,245.99	YES	15	High Value	Desktop	45.2	Low	0.85	Northeast	Credit Card	Express	4.5	3	Winter	TRUE	Organic Search
TXN00002	Basic	Clothing	$89.50	NO	120	Low Value	Mobile	12.3	High	0.32	Southeast	PayPal	Standard	3.8	1	Spring	FALSE	Social Media
TXN00003	Standard	Home & Garden	$234.75	YES	30	Medium Value	Tablet	28.7	Medium	0.67	West	Credit Card	Standard	4.2	2	Spring	TRUE	Email Campaign
TXN00004	Premium	Electronics	MISSING	NO	8	High Value	Desktop	52.1	Low	0.91	Midwest	Credit Card	Express	4.7	5	Winter	TRUE	Direct
TXN00005	Basic	Books	$45.20	NO	N/A	Low Value	Mobile	8.5	High	0.28	Southwest	Debit Card	Economy	3.5	1	Summer	FALSE	Affiliate Link
TXN00006	Standard	Sports & Outdoors	$189.99	YES	45	Medium Value	Desktop	35.6	Medium	0.72	Northeast	Credit Card	Standard	4.1	2	Fall	TRUE	Organic Search
TXN00007	Premium	Jewelry	$2,450.00	NO	22	High Value	Desktop	61.8	Low	0.88	West	Credit Card	Express	4.9	1	Winter	TRUE	Direct
TXN00008	Basic	Clothing	$67.30	NO	90	Low Value	Mobile	15.2	High	0.35	Southeast	PayPal	Standard	3.6	2	Spring	FALSE	Social Media
TXN00009	Standard	Electronics	$455.80	YES	18	Medium Value	Tablet	42.3	Low	0.78	Midwest	Credit Card	Express	4.4	3	Summer	TRUE	Email Campaign
TXN00010	Premium	Home & Garden	$1,890.50	NO	12	High Value	Desktop	58.4	Low	0.93	Northeast	Credit Card	Express	4.8	4	Fall	TRUE	Organic Search
TXN00011	Basic	Books	$32.95	NO	180	Low Value	Mobile	6.7	High	0.25	Southwest	Debit Card	Economy	3.2	1	Winter	FALSE	Affiliate Link
TXN00012	Standard	Clothing	$156.40	YES	28	Medium Value	Desktop	31.5	Medium	0.69	Southeast	PayPal	Standard	4.0	3	Spring	TRUE	Email Campaign
TXN00013	Premium	Electronics	$3,200.00	NO	5	High Value	Desktop	72.3	Low	0.96	West	Credit Card	Express	4.9	2	Summer	TRUE	Direct
TXN00014	Basic	Home & Garden	$78.60	NO	150	Low Value	Mobile	10.8	High	0.30	Midwest	Debit Card	Standard	3.7	1	Fall	FALSE	Social Media
TXN00015	Standard	Sports & Outdoors	$267.85	YES	35	Medium Value	Tablet	38.9	Medium	0.74	Northeast	Credit Card	Standard	4.3	2	Winter	TRUE	Organic Search
TXN00016	Premium	Jewelry	$1,750.00	NO	20	High Value	Desktop	55.2	Low	0.89	Southwest	Credit Card	Express	4.7	1	Spring	TRUE	Email Campaign
TXN00017	Basic	Books	$41.25	NO	200	Low Value	Mobile	7.9	High	0.27	Southeast	PayPal	Economy	3.4	1	Summer	FALSE	Affiliate Link
TXN00018	Standard	Electronics	$389.99	YES	25	Medium Value	Desktop	36.4	Medium	0.71	West	Credit Card	Standard	4.2	2	Fall	TRUE	Direct
TXN00019	Premium	Home & Garden	$2,100.00	NO	10	High Value	Desktop	64.7	Low	0.94	Midwest	Credit Card	Express	4.8	3	Winter	TRUE	Organic Search
TXN00020	Basic	Clothing	$55.80	NO	110	Low Value	Mobile	13.6	High	0.33	Northeast	Debit Card	Standard	3.6	1	Spring	FALSE	Social Media
TXN00021	Standard	Sports & Outdoors	$198.50	YES	40	Medium Value	Tablet	29.3	Medium	0.68	Southeast	PayPal	Standard	4.1	2	Summer	TRUE	Email Campaign
TXN00022	Premium	Electronics	$1,560.00	NO	18	High Value	Desktop	48.5	Low	0.87	West	Credit Card	Express	4.6	4	Fall	TRUE	Direct
TXN00023	Basic	Home & Garden	$92.40	NO	160	Low Value	Mobile	11.2	High	0.31	Southwest	Debit Card	Standard	3.8	1	Winter	FALSE	Affiliate Link
TXN00024	Standard	Clothing	$145.75	YES	32	Medium Value	Desktop	33.8	Medium	0.70	Midwest	Credit Card	Standard	4.0	2	Spring	TRUE	Organic Search
TXN00025	Premium	Jewelry	$3,890.00	NO	7	High Value	Desktop	78.9	Low	0.97	Northeast	Credit Card	Express	4.9	2	Summer	TRUE	Email Campaign
TXN00026	Basic	Books	$38.60	NO	190	Low Value	Mobile	8.2	High	0.26	Southeast	PayPal	Economy	3.3	1	Fall	FALSE	Social Media
TXN00027	Standard	Electronics	$412.30	YES	22	Medium Value	Tablet	41.7	Low	0.76	West	Credit Card	Express	4.4	3	Winter	TRUE	Direct
TXN00028	Premium	Home & Garden	$1,675.00	NO	14	High Value	Desktop	51.3	Low	0.90	Southwest	Credit Card	Express	4.7	3	Spring	TRUE	Organic Search
TXN00029	Basic	Clothing	$71.95	NO	130	Low Value	Mobile	14.8	High	0.34	Midwest	Debit Card	Standard	3.7	2	Summer	FALSE	Affiliate Link
TXN00030	Standard	Sports & Outdoors	$234.60	YES	38	Medium Value	Desktop	37.2	Medium	0.73	Northeast	PayPal	Standard	4.2	2	Fall	TRUE	Email Campaign
TXN00031	Premium	Electronics	$2,890.00	NO	9	High Value	Desktop	68.4	Low	0.95	Southeast	Credit Card	Express	4.8	5	Winter	TRUE	Direct
TXN00032	Basic	Home & Garden	$85.30	NO	170	Low Value	Mobile	10.5	High	0.29	West	Debit Card	Standard	3.7	1	Spring	FALSE	Social Media
TXN00033	Standard	Clothing	$167.20	YES	27	Medium Value	Tablet	34.6	Medium	0.72	Southwest	Credit Card	Standard	4.1	3	Summer	TRUE	Organic Search
TXN00034	Premium	Jewelry	$2,250.00	NO	16	High Value	Desktop	57.8	Low	0.91	Midwest	Credit Card	Express	4.8	1	Fall	TRUE	Email Campaign
TXN00035	Basic	Books	$44.80	NO	210	Low Value	Mobile	7.3	High	0.24	Northeast	PayPal	Economy	3.1	1	Winter	FALSE	Affiliate Link
TXN00036	Standard	Electronics	$378.95	YES	29	Medium Value	Desktop	39.1	Medium	0.75	Southeast	Credit Card	Standard	4.3	2	Spring	TRUE	Direct
TXN00037	Premium	Home & Garden	$1,920.00	NO	11	High Value	Desktop	62.5	Low	0.92	West	Credit Card	Express	4.7	4	Summer	TRUE	Organic Search
TXN00038	Basic	Clothing	$63.40	NO	140	Low Value	Mobile	12.9	High	0.32	Southwest	Debit Card	Standard	3.6	1	Fall	FALSE	Social Media
TXN00039	Standard	Sports & Outdoors	$212.75	YES	42	Medium Value	Tablet	30.8	Medium	0.69	Midwest	PayPal	Standard	4.0	2	Winter	TRUE	Email Campaign
TXN00040	Premium	Electronics	$1,780.00	NO	13	High Value	Desktop	54.6	Low	0.88	Northeast	Credit Card	Express	4.6	3	Spring	TRUE	Direct
TXN00041	Basic	Home & Garden	$96.70	NO	155	Low Value	Mobile	11.8	High	0.30	Southeast	Debit Card	Standard	3.8	1	Summer	FALSE	Affiliate Link
TXN00042	Standard	Clothing	$152.90	YES	33	Medium Value	Desktop	32.4	Medium	0.71	West	Credit Card	Standard	4.1	2	Fall	TRUE	Organic Search
TXN00043	Premium	Jewelry	$4,120.00	NO	6	High Value	Desktop	81.2	Low	0.98	Southwest	Credit Card	Express	5.0	2	Winter	TRUE	Email Campaign
TXN00044	Basic	Books	$35.50	NO	220	Low Value	Mobile	6.9	High	0.23	Midwest	PayPal	Economy	3.0	1	Spring	FALSE	Social Media
TXN00045	Standard	Electronics	$445.60	YES	24	Medium Value	Tablet	43.5	Low	0.77	Northeast	Credit Card	Express	4.4	3	Summer	TRUE	Direct
TXN00046	Premium	Home & Garden	$2,340.00	NO	8	High Value	Desktop	66.3	Low	0.94	Southeast	Credit Card	Express	4.8	5	Fall	TRUE	Organic Search
TXN00047	Basic	Clothing	$58.20	NO	125	Low Value	Mobile	13.1	High	0.31	West	Debit Card	Standard	3.5	1	Winter	FALSE	Affiliate Link
TXN00048	Standard	Sports & Outdoors	$189.40	YES	36	Medium Value	Desktop	35.9	Medium	0.70	Southwest	PayPal	Standard	4.0	2	Spring	TRUE	Email Campaign
TXN00049	Premium	Electronics	$1,450.00	NO	17	High Value	Desktop	49.7	Low	0.86	Midwest	Credit Card	Express	4.5	2	Summer	TRUE	Direct
TXN00050	Basic	Home & Garden	$81.90	NO	165	Low Value	Mobile	10.2	High	0.28	Northeast	Debit Card	Standard	3.7	1	Fall	FALSE	Social Media
